datetime,dt_MY,EURUSD,GBPUSD,AUDUSD,USDJPY,NZDUSD,USDCAD,USDCHF,GBPJPY,EURJPY,AUDJPY,NZDJPY,CADJPY,CHFJPY
2018-07-10 21:35:00,2018-07-11 05:35:00+08:00,1.17369,1.32739,0.74305,110.944,0.68188,1.31306,0.99205,147.263,130.212,82.522,75.654,84.484,111.775
2018-07-10 21:50:00,2018-07-11 05:50:00+08:00,1.17382,1.32697,0.74356,110.977,0.68199,1.31306,0.99196,147.258,130.264,82.441,75.677,84.512,111.801
2018-07-10 22:05:00,2018-07-11 06:05:00+08:00,1.17347,1.32595,0.74324,110.88,0.68209,1.31357,0.99203,147.02,130.113,82.521,75.632,84.409,111.802
2018-07-10 22:20:00,2018-07-11 06:20:00+08:00,1.17353,1.32612,0.74254,110.822,0.68188,1.31401,0.99203,146.965,130.056,82.413,75.569,84.336,111.844
2018-07-10 22:35:00,2018-07-11 06:35:00+08:00,1.17347,1.32576,0.7424,110.86,0.6821,1.31413,0.99208,146.974,130.094,82.293,75.619,84.355,111.74
2018-07-10 22:50:00,2018-07-11 06:50:00+08:00,1.17363,1.32617,0.74266,110.89,0.68204,1.31384,0.99203,147.057,130.143,82.302,75.632,84.396,111.699
2018-07-10 23:05:00,2018-07-11 07:05:00+08:00,1.17315,1.32585,0.74221,110.917,0.6819,1.31411,0.99224,147.06,130.124,82.354,75.634,84.401,111.711
2018-07-10 23:20:00,2018-07-11 07:20:00+08:00,1.1728,1.32623,0.74183,110.874,0.68191,1.31429,0.99225,147.045,130.033,82.326,75.603,84.357,111.746
2018-07-10 23:35:00,2018-07-11 07:35:00+08:00,1.17285,1.32607,0.74141,110.866,0.68158,1.31459,0.9925,147.015,130.032,82.249,75.563,84.332,111.747
2018-07-10 23:50:00,2018-07-11 07:50:00+08:00,1.17279,1.32582,0.74155,110.854,0.68163,1.31449,0.99257,146.974,130.009,82.197,75.56,84.33,111.694
2018-07-11 00:00:00,2018-07-11 08:00:00+08:00,1.17305,1.32596,0.74217,110.912,0.682,1.31425,0.99257,147.063,130.108,82.205,75.642,84.388,111.686
2018-07-11 00:15:00,2018-07-11 08:15:00+08:00,1.17305,1.32587,0.74198,110.92,0.68149,1.3145,0.99267,147.065,130.114,82.316,75.591,84.38,111.665
2018-07-11 00:30:00,2018-07-11 08:30:00+08:00,1.17295,1.32596,0.74214,110.869,0.6813,1.3145,0.99245,147.009,130.047,82.301,75.535,84.341,111.745
2018-07-11 00:45:00,2018-07-11 08:45:00+08:00,1.17266,1.3253,0.74137,110.845,0.68102,1.31524,0.99234,146.902,129.982,82.282,75.487,84.275,111.767
2018-07-11 01:00:00,2018-07-11 09:00:00+08:00,1.17256,1.32579,0.74092,110.841,0.68079,1.31518,0.99239,146.954,129.972,82.178,75.46,84.276,111.713
2018-07-11 01:15:00,2018-07-11 09:15:00+08:00,1.17282,1.32618,0.74143,110.874,0.6812,1.31476,0.99258,147.04,130.037,82.126,75.524,84.328,111.666
2018-07-11 01:30:00,2018-07-11 09:30:00+08:00,1.17285,1.32619,0.74183,110.954,0.68115,1.31441,0.99245,147.15,130.133,82.205,75.578,84.412,111.676
2018-07-11 01:45:00,2018-07-11 09:45:00+08:00,1.17312,1.32638,0.74252,110.993,0.68158,1.3138,0.9922,147.218,130.209,82.31,75.652,84.48,111.733
2018-07-11 02:00:00,2018-07-11 10:00:00+08:00,1.17355,1.32676,0.7425,110.981,0.6814,1.31387,0.99226,147.244,130.242,82.416,75.623,84.467,111.811
2018-07-11 02:15:00,2018-07-11 10:15:00+08:00,1.17323,1.32624,0.74224,111.073,0.68132,1.3138,0.99228,147.312,130.315,82.402,75.676,84.542,111.849
2018-07-11 02:30:00,2018-07-11 10:30:00+08:00,1.17298,1.32609,0.74225,111.13,0.68141,1.31394,0.99189,147.369,130.352,82.443,75.723,84.574,111.88
2018-07-11 02:45:00,2018-07-11 10:45:00+08:00,1.17297,1.326,0.74203,111.077,0.68125,1.31386,0.99224,147.286,130.291,82.485,75.671,84.539,111.933
2018-07-11 03:00:00,2018-07-11 11:00:00+08:00,1.17295,1.32616,0.74142,111.063,0.68131,1.31375,0.99253,147.288,130.274,82.422,75.668,84.535,111.956
2018-07-11 03:15:00,2018-07-11 11:15:00+08:00,1.17264,1.32592,0.74145,111.059,0.68097,1.31373,0.99244,147.257,130.232,82.345,75.628,84.535,111.913
2018-07-11 03:30:00,2018-07-11 11:30:00+08:00,1.17254,1.3258,0.7416,111.08,0.68109,1.3135,0.99208,147.27,130.248,82.345,75.657,84.567,111.943
2018-07-11 03:45:00,2018-07-11 11:45:00+08:00,1.17293,1.32619,0.74185,111.088,0.68117,1.31333,0.99226,147.319,130.296,82.378,75.669,84.582,111.917
2018-07-11 04:00:00,2018-07-11 12:00:00+08:00,1.17282,1.3261,0.74181,111.11,0.6813,1.31352,0.99247,147.345,130.313,82.408,75.699,84.587,111.916
2018-07-11 04:15:00,2018-07-11 12:15:00+08:00,1.1727,1.32567,0.74102,111.044,0.68088,1.31398,0.99228,147.207,130.221,82.423,75.608,84.508,111.942
2018-07-11 04:30:00,2018-07-11 12:30:00+08:00,1.17239,1.32547,0.74058,111.014,0.68074,1.31419,0.99235,147.147,130.155,82.286,75.571,84.47,111.958
2018-07-11 04:45:00,2018-07-11 12:45:00+08:00,1.1727,1.32582,0.74104,111.024,0.68094,1.31399,0.99224,147.196,130.2,82.216,75.601,84.491,111.903
2018-07-11 05:00:00,2018-07-11 13:00:00+08:00,1.1727,1.32582,0.74102,111.062,0.68111,1.31407,0.99235,147.251,130.243,82.272,75.647,84.516,111.861
2018-07-11 05:15:00,2018-07-11 13:15:00+08:00,1.17277,1.32599,0.74114,111.066,0.68088,1.31398,0.99216,147.274,130.256,82.301,75.622,84.525,111.894
2018-07-11 05:30:00,2018-07-11 13:30:00+08:00,1.17299,1.32646,0.74135,111.065,0.68101,1.31382,0.99214,147.322,130.279,82.314,75.635,84.535,111.934
2018-07-11 05:45:00,2018-07-11 13:45:00+08:00,1.17289,1.32617,0.74094,111.067,0.68088,1.31379,0.99235,147.296,130.271,82.337,75.62,84.535,111.914
2018-07-11 06:00:00,2018-07-11 14:00:00+08:00,1.17351,1.32651,0.7406,111.042,0.68111,1.31377,0.99215,147.301,130.308,82.293,75.632,84.52,111.935
2018-07-11 06:15:00,2018-07-11 14:15:00+08:00,1.17361,1.32719,0.74104,111.048,0.68141,1.31332,0.99206,147.382,130.33,82.238,75.669,84.554,111.945
2018-07-11 06:30:00,2018-07-11 14:30:00+08:00,1.17387,1.32741,0.74124,111.042,0.68146,1.31343,0.99145,147.397,130.351,82.291,75.669,84.542,111.994
2018-07-11 06:45:00,2018-07-11 14:45:00+08:00,1.17304,1.32656,0.74097,110.985,0.68138,1.31377,0.99158,147.233,130.191,82.307,75.623,84.477,111.984
2018-07-11 07:00:00,2018-07-11 15:00:00+08:00,1.17283,1.32684,0.74108,110.974,0.68124,1.31411,0.9915,147.245,130.153,82.238,75.6,84.447,111.986
2018-07-11 07:15:00,2018-07-11 15:15:00+08:00,1.17285,1.32698,0.7414,111.034,0.68178,1.31391,0.99118,147.34,130.228,82.242,75.698,84.504,111.96
